title,label
Toy Story,fear
Jumanji,fear
Grumpier Old Men,anger
Waiting to Exhale,joy
Father of the Bride Part II,joy
Heat,fear
Sabrina,joy
Tom and Huck,joy
Sudden Death,fear
GoldenEye,fear
The American President,anger
Dracula: Dead and Loving It,joy
Balto,anger
Nixon,sadness
Cutthroat Island,fear
Casino,anger
Sense and Sensibility,sadness
Four Rooms,anger
Ace Ventura: When Nature Calls,anger
Money Train,anger
Get Shorty,joy
Copycat,anger
Assassins,anger
Powder,fear
Leaving Las Vegas,fear
Othello,anger
Now and Then,love
Persuasion,sadness
The City of Lost Children,fear
Shanghai Triad,joy
Dangerous Minds,anger
Twelve Monkeys,fear
Wings of Courage,joy
Babe,joy
Carrington,love
Dead Man Walking,joy
Across the Sea of Time,fear
It Takes Two,sadness
Clueless,joy
"Cry, the Beloved Country",joy
Richard III,joy
Dead Presidents,sadness
Restoration,anger
Mortal Kombat,joy
To Die For,joy
How To Make An American Quilt,love
Se7en,fear
Pocahontas,joy
When Night Is Falling,love
The Usual Suspects,joy
Guardian Angel,anger
Mighty Aphrodite,joy
Lamerica,sadness
The Big Green,sadness
Georgia,anger
Kids of the Round Table,joy
Home for the Holidays,fear
The Postman,joy
The Confessional,fear
The Indian in the Cupboard,joy
Eye for an Eye,sadness
Mr. Hollands Opus,joy
Dont Be a Menace to South Central While Drinking Your Juice in the Hood,anger
Two If by Sea,anger
Bio-Dome,anger
Lawnmower Man 2: Beyond Cyberspace,joy
Two Bits,joy
French Twist,anger
Friday,anger
From Dusk Till Dawn,anger
Fair Game,anger
Kicking and Screaming,anger
Les Miserables,sadness
Bed of Roses,joy
Big Bully,sadness
Screamers,sadness
Nico Icon,joy
The Crossing Guard,anger
The Juror,anger
The White Balloon,anger
Things to Do in Denver When Youre Dead,joy
Antonias Line,joy
Once Upon a Time... When We Were Colored,anger
Last Summer in the Hamptons,joy
Angels and Insects,fear
White Squall,sadness
Dunston Checks In,anger
Black Sheep,anger
Nick of Time,anger
The Journey of August King,anger
Mary Reilly,fear
Vampire in Brooklyn,joy
Beautiful Girls,joy
Broken Arrow,sadness
A Midwinters Tale,joy
La Haine,anger
Shopping,sadness
Heidi Fleiss: Hollywood Madam,fear
City Hall,fear
Bottle Rocket,fear
Mr. Wrong,anger
Unforgettable,joy
Happy Gilmore,joy
The Bridges of Madison County,fear
Nobody Loves Me,joy
Muppet Treasure Island,fear
Catwalk,joy
Headless Body in Topless Bar,fear
Braveheart,anger
Taxi Driver,anger
Rumble in the Bronx,anger
Before and After,anger
Margarets Museum,joy
Happiness Is in the Field,fear
Anne Frank Remembered,joy
The Young Poisoners Handbook,anger
If Lucy Fell,sadness
Steal Big Steal Little,love
Race the Sun,anger
The Boys of St. Vincent,sadness
Boomerang,sadness
Chungking Express,fear
The Star Maker,fear
Flirting with Disaster,joy
The Neverending Story III: Escape from Fantasia,anger
The Silences of the Palace,sadness
Jupiters Wife,joy
Pie in the Sky,love
Angela,joy
Frankie Starlight,joy
Jade,anger
Nueba Yol,sadness
Sonic Outlaws,joy
Down Periscope,anger
From the Journals of Jean Seberg,joy
Man of the Year,anger
The Neon Bible,love
Target,anger
Up Close & Personal,joy
The Birdcage,anger
Virgin Mary,fear
The Brothers McMullen,joy
Bad Boys,joy
The Amazing Panda Adventure,joy
The Basketball Diaries,joy
An Awfully Big Adventure,joy
Amateur,joy
Apollo 13,joy
Rob Roy,anger
The Addiction,anger
Batman Forever,anger
Belle de Jour,anger
Beyond Rangoon,sadness
Blue in the Face,anger
Canadian Bacon,anger
Casper,fear
Clockers,fear
Congo,fear
Crimson Tide,joy
Crumb,joy
Desperado,anger
Devil in a Blue Dress,fear
Die Hard: With a Vengeance,joy
