track,artist,label
Falling In Love Again,Blackstreet,others
Blasphemer,Lucifers Crossing,angry
Justify My Love (porno mix) Rare,Madonna,others
One,Aimee Mann,fear
Roads Untraveled,Linkin Park,fear
Two Skaters,Nits,sadness
Ill be seeing you,Frank Sinatra,love
Teen Angel,Frankie Lymon and The Teenagers,sadness
City Theme,Vanessa-Mae,others
"Pedraforca, Terra De Bruixes",Narsilion,joy
Blues For Marili ( LP Version ),T-Bone Walker,fear
When You Have A Faint Heart,The Harvest Ministers,sadness
OnceBittenTwiceShy,Poison,angry
Desperate Guys,The Faint,joy
1 A.M.,Beautiful Creatures,angry
The Feeling,Puressence,others
Beyond You,Marillion,joy
Tomorrow Is Already Here,Stereolab,fear
On A Beach,Richard Ashcroft,love
El Pito,Joe Cuba,angry
Riding The Drag,The Narcotic Daffodils,angry
Shukuru,Pharoah Sanders,fear
Lets Get Ourselves Together (Millenium Mix),Santana,joy
The Things That I Used To Do,G. Love & Special Sauce,fear
Walk of Shame,Thee More Shallows,angry
Cable TV,Weird Al Yankovic,others
Dead Eyes,aktivehate,sadness
Dust,Ainslie Henderson,angry
Political,Halou,fear
Close-Up,Charles Wilp,joy
i dont want to,Lola Demo,angry
Dos,Chevelle,others
Spooky Boogie,Gentle Giant,sadness
And I Dreamt of You,Underoath,joy
Napoleon (Re-recorded version),Ani DiFranco,others
Detroit City,Alice Cooper,angry
alcohol,カヒミ・カリィ,joy
Come un sospiro,Yanni,love
Em Nagoya Eu Vi Eriko,Seu Jorge,others
Shoot First,moe.,fear
Nataraj - Black Phone,Jai Uttal,fear
"Beloved, Youve come Today- Tumi Je Esecho Aj",JYosna La Trobe,sadness
2 Ghosts I,Nine Inch Nails,fear
A Dance With Dragons,Slice the Cake,joy
This Moment,Matt Wertz,love
Mad Izm (Featuring KRS-One),Channel Live,joy
Pedal Steel,Stephen Kellogg & the Sixers,love
Suzy & Jeffrey,Blondie,fear
Maenam,Jami Sieber,fear
Sun,Cabinet of Natural Curiosities,love
Love Changes,Stevie Nicks,joy
Stand Up And Shout,The Tubes,sadness
Lights On,Secret Machines,sadness
Saturday Night,McFly,others
my head is in the couch so dont cut it off,5 Animals At The Zoo Eating Grass,joy
